id,name,country,friends
76561198887276207,Me,United States,"[('76561199544356277', 'six6 ; counter-strike 2 ; '), ('76561198085900397', 'ruah ;  ; '), ('76561199142692365', '/t/ ;  ; '), ('76561198383084192', '111 ;  ; '), ('76561198158577932', 'bekkkk ;  ; '), ('76561198257630267', 'billion ;  ; '), ('76561198206553592', 'blaa ;  ; '), ('76561198208651108', 'bu; ;  ; '), ('76561198137509845', 'budda ;  ; '), ('76561198200005194', 'cheesemonger ;  ; '), ('76561198291534329', 'divine créature ;  ; '), ('76561198141463921', 'doctor45 ;  ; '), ('76561198259767609', 'enjoyer ;  ; '), ('76561198138139219', 'equanimous ;  ; '), ('76561199158652847', 'getnymba ;  ; '), ('76561198267394926', 'hippophae ;  ; '), ('76561199005664989', 'jennie_in_your_area ;  ; '), ('76561198148046086', 'keke ;  ; '), ('76561198286584487', 'mercedase ;  ; '), ('76561198377571022', 'mitsu ;  ; '), ('76561198308616392', 'n00berish ;  ; '), ('76561198348078099', 'negtovsh ;  ; '), ('76561198175207903', 'newbee.なんで ;  ; '), ('76561199145519710', 'nymbax ;  ; '), ('76561199165132984', 'nymbax ;  ; '), ('76561199165334379', 'nymbax ;  ; '), ('76561198303401318', 'oi ;  ; '), ('76561198198986819', 'peach slayer ;  ; '), ('76561198306463055', 'position ;  ; '), ('76561198401220183', 'purgi ;  ; '), ('76561198139970152', 'rain quận 7 ;  ; '), ('76561198358384793', 'renger ;  ; '), ('76561198193680825', 'robert oppenheimer ;  ; '), ('76561198279515037', 'rusty ;  ; '), ('76561198827588101', 'ryumx ;  ; '), ('76561199021530370', 'sdln ;  ; '), ('76561198842497588', 'teku ;  ; '), ('76561198871995955', 'teku ;  ; '), ('76561198333191359', 'thor ;  ; '), ('76561198306884280', 'tom ;  ; '), ('76561198834092397', 'tugstumul ;  ; '), ('76561198168801470', 'xdd ;  ; '), ('76561199056772285', 'ᵂᵘᵉʷᵘᵉʷᵘᵉʷᵘᵉ ;  ; '), ('76561198843512467', '齊天大聖 ;  ; '), ('76561198850180946', '덴츠 ;  ; ')]"
76561199544356277,six6 ; counter-strike 2 ; ,United States,[]
76561198085900397,ruah ;  ; ,"Tokyo, Japan",[]
76561199142692365,/t/ ;  ; ,"Tokyo, Tokyo, Japan","[('76561198955863590', 'drug slayer! ; counter-strike 2 ; '), ('76561198441995154', 'greed ; counter-strike 2 ; '), ('76561198106767053', 'master ; counter-strike 2 ; '), ('76561198278634371', 'supra ; dota 2 ; '), ('76561198085900397', 'ruah ;  ; '), ('76561199241063752', '-wybie- ;  ; '), ('76561198304092046', '. ;  ; '), ('76561198372205845', '9 ;  ; '), ('76561198312938360', 'a ;  ; '), ('76561199134727794', 'anujin ;  ; '), ('76561198304883616', 'asyouasked ;  ; '), ('76561198257630267', 'billion ;  ; '), ('76561198208651108', 'bu; ;  ; '), ('76561198999637174', 'coko ;  ; '), ('76561198309535526', 'dmn_mnstr_tmk ;  ; '), ('76561198141463921', 'doctor45 ;  ; '), ('76561198051384372', 'enjoyer ;  ; '), ('76561198817898781', 'fox18 ;  ; '), ('76561199171109774', 'h*u ;  ; '), ('76561198266991292', 'ivy ;  ; '), ('76561198097799475', 'levi ;  ; '), ('76561198448807301', 'lisa ;  ; '), ('76561198118992362', 'm a a j i i s h u u !! ;  ; '), ('76561198968368320', 'm e r c e d e s ;  ; '), ('76561198438047305', 'nine ;  ; '), ('76561198851639824', 'noobmastaa ;  ; '), ('76561198198986819', 'peach slayer ;  ; '), ('76561198837625835', 'pinkyyy ;  ; '), ('76561198830407977', 'purrfect ;  ; '), ('76561198113387050', 'rich spirit ;  ; '), ('76561198193680825', 'robert oppenheimer ;  ; '), ('76561198256981885', 'rtx ;  ; '), ('76561198827588101', 'ryumx ;  ; '), ('76561198368065041', 'sierra six ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198306884280', 'tom ;  ; '), ('76561198871807564', 'ulquare.! ;  ; '), ('76561199056772285', 'ᵂᵘᵉʷᵘᵉʷᵘᵉʷᵘᵉ ;  ; '), ('76561198071759066', '™revenge☻♥ ;  ; '), ('76561198115338525', '你棋差两招啊 ;  ; ')]"
76561198383084192,111 ;  ; ,,[]
76561198158577932,bekkkk ;  ; ,,"[('76561198164352602', 'oggy ; dota 2 ; '), ('76561198150129429', 'solo match enjoyer ;  ; '), ('76561198205810231', '... ;  ; '), ('76561198313681056', '1 ;  ; '), ('76561198212924432', 'aaa ;  ; '), ('76561198363204002', 'arizona ;  ; '), ('76561198117959474', 'asterix ;  ; '), ('76561198206553592', 'blaa ;  ; '), ('76561198305747278', 'boxxy ;  ; '), ('76561198263117923', 'cristiano mcdonaldo ;  ; '), ('76561198123971722', 'esse (black) ;  ; '), ('76561198929120540', 'go0d gam3 ;  ; '), ('76561198164557590', 'gunbo ;  ; '), ('76561198056634886', 'motm ;  ; '), ('76561198348078099', 'negtovsh ;  ; '), ('76561198238393176', 'pro gamer ;  ; '), ('76561198401220183', 'purgi ;  ; '), ('76561198160912701', 'saol ;  ; '), ('76561198131364811', 'surprise ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198333191359', 'thor ;  ; '), ('76561198278198002', 'tima ;  ; '), ('76561198379465255', 'tony slark ;  ; '), ('76561198312624120', 'uuchlaarai, hetruultsen uu? ;  ; '), ('76561198273018839', 'БАСЧ НАМАЙГ ХУРЦЛ ;  ; ')]"
76561198257630267,billion ;  ; ,"Darhan Uul, Mongolia","[('76561198256613886', '0072 ;  ; '), ('76561198041631684', 'lenin cat ;  ; '), ('76561198085900397', 'ruah ;  ; '), ('76561197987224976', 'xelitoxic ;  ; '), ('76561199142692365', '/t/ ;  ; '), ('76561198372205845', '9 ;  ; '), ('76561198796969051', '76561198796969051 ;  ; '), ('76561198274088100', 'barney dino 69 ;  ; '), ('76561198208651108', 'bu; ;  ; '), ('76561198137509845', 'budda ;  ; '), ('76561198141463921', 'doctor45 ;  ; '), ('76561198091118848', 'egduutei ;  ; '), ('76561198163094155', 'enisa ;  ; '), ('76561198259767609', 'enjoyer ;  ; '), ('76561198051384372', 'enjoyer ;  ; '), ('76561198411937348', 'eto gege ;  ; '), ('76561198140989049', 'fullnoob alchemist ;  ; '), ('76561198120800198', 'g ;  ; '), ('76561198267394926', 'hippophae ;  ; '), ('76561198179435931', 'kaskade ;  ; '), ('76561198107383752', 'leonardo da vinci ;  ; '), ('76561198410521742', 'm1ke ;  ; '), ('76561198129042885', 'meracle.fnc ;  ; '), ('76561198440242590', 'mrgastation ;  ; '), ('76561198368906791', 'olimp gerlee ;  ; '), ('76561198198986819', 'peach slayer ;  ; '), ('76561198330123520', 'son goku ;  ; '), ('76561198293488651', 'suck at all role ;  ; '), ('76561198349944936', 'the pro mider (smurf) ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198834092397', 'tugstumul ;  ; '), ('76561198295252729', 'zan korobas ;  ; '), ('76561198439015987', 'zhavia ;  ; '), ('76561198431322359', '☠dark☠ ;  ; '), ('76561198443574993', '✪4u ;  ; ')]"
76561198206553592,blaa ;  ; ,Mongolia,"[('76561198164352602', 'oggy ; dota 2 ; '), ('76561198104146797', 'pablin swe ; rust ; '), ('76561198343580678', '1 ;  ; '), ('76561198823351353', 'musen ;  ; '), ('76561198256024112', 'rednax ;  ; '), ('76561198150129429', 'solo match enjoyer ;  ; '), ('76561199473093201', 'thistle ;  ; '), ('76561198097459933', 'wisem ;  ; '), ('76561198205810231', '... ;  ; '), ('76561198313681056', '1 ;  ; '), ('76561198299983876', '999 ;  ; '), ('76561198085900142', '<<<no!ob....joy-boy>>> ;  ; '), ('76561198212924432', 'aaa ;  ; '), ('76561199120821261', 'air ;  ; '), ('76561199386198102', 'akchually ;  ; '), ('76561198254962027', 'akimoz ;  ; '), ('76561198116134447', 'alone ;  ; '), ('76561198363204002', 'arizona ;  ; '), ('76561198117959474', 'asterix ;  ; '), ('76561198308106245', 'bb ;  ; '), ('76561198158577932', 'bekkkk ;  ; '), ('76561198305747278', 'boxxy ;  ; '), ('76561198106547923', 'bukayo saka ;  ; '), ('76561198261412967', 'byra ;  ; '), ('76561198245602950', 'captain420 ;  ; '), ('76561198722708802', 'cincaluk ;  ; '), ('76561198137034378', ""cinders' ;  ; ""), ('76561198263117923', 'cristiano mcdonaldo ;  ; '), ('76561198122632648', 'diplo ;  ; '), ('76561198083266826', 'discharge* ;  ; '), ('76561198144550725', 'enjoyer ;  ; '), ('76561198175352115', 'ferrari ;  ; '), ('76561198857373563', 'g4no ;  ; '), ('76561199158652847', 'getnymba ;  ; '), ('76561198179865078', 'get out™ ;  ; '), ('76561198061228333', 'guiltycrazy ;  ; '), ('76561198164557590', 'gunbo ;  ; '), ('76561199214522029', 'holdmavodka ;  ; '), ('76561198155505145', 'hong kong is a part of china ;  ; '), ('76561198417322644', 'il gal deer sharsan pussy ;  ; '), ('76561198326653861', 'iqz ;  ; '), ('76561198333817929', 'irys ;  ; '), ('76561198103076670', 'k1ngsh1ne ;  ; '), ('76561198441973744', 'keke ;  ; '), ('76561198065502144', 'kentaro-d ;  ; '), ('76561198328067624', 'lol ;  ; '), ('76561199166363887', 'lol ;  ; '), ('76561198318614863', 'lonze! ;  ; '), ('76561198375561787', 'mercy pls ;  ; '), ('76561199015244955', 'mhm ;  ; '), ('76561198405755806', 'minh trang tsukimi☄ ;  ; '), ('76561198287311171', 'mongolevil ;  ; '), ('76561199028576318', 'musteiwine ;  ; '), ('76561198348078099', 'negtovsh ;  ; '), ('76561198175207903', 'newbee.なんで ;  ; '), ('76561199001016682', 'nishikata5355 ;  ; '), ('76561198084338000', 'pexaaa.! ;  ; '), ('76561198131177829', 'pic-a-booooo ;  ; '), ('76561198306463055', 'position ;  ; '), ('76561198123684029', 'prime ;  ; '), ('76561198401220183', 'purgi ;  ; '), ('76561198142835023', 'pussycat ;  ; '), ('76561198332703917', 'ren ;  ; '), ('76561198358384793', 'renger ;  ; '), ('76561198848299607', 'rere cantik ;  ; '), ('76561198872633472', 'sakiiii ;  ; '), ('76561198963817363', 'shamdian ;  ; '), ('76561198307922933', 'shitty ;  ; '), ('76561198869685271', 'sorate ;  ; '), ('76561198199637141', 'stormi.神 ;  ; '), ('76561198331460642', 'taamii ;  ; '), ('76561198842497588', 'teku ;  ; '), ('76561198871995955', 'teku ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198333191359', 'thor ;  ; '), ('76561198379465255', 'tony slark ;  ; '), ('76561198107793849', 'tremolo ;  ; '), ('76561199194282327', 'tsodgor huu tsoogii ;  ; '), ('76561198090336466', 'u.g.rgl ;  ; '), ('76561198312624120', 'uuchlaarai, hetruultsen uu? ;  ; '), ('76561199095306193', 'uyrlf. ;  ; '), ('76561198304755047', 'xinq ;  ; '), ('76561198149241939', 'you look so cooooool ;  ; '), ('76561198147774102', 'zoll ;  ; '), ('76561198375894078', '§maxi§ ;  ; '), ('76561198084220033', 'คนจน credit ;  ; '), ('76561199007180311', 'ᵛᶰシkཽhཽÁ︵⁹⁶ ;  ; '), ('76561198861745445', '₮$€₮$€ ^^ ;  ; '), ('76561198197380781', '☆ãŠ†râx.g⁷™°°° ;  ; '), ('76561198185721870', '✪ alz_lynchŸ™ ;  ; '), ('76561199139493520', '六六六 ;  ; '), ('76561198405771080', '压力怪♪ ;  ; '), ('76561198843512467', '齊天大聖 ;  ; ')]"
76561198208651108,bu; ;  ; ,"Ibaraki, Japan","[('76561198955863590', 'drug slayer! ; counter-strike 2 ; '), ('76561198278634371', 'supra ; dota 2 ; '), ('76561198262292494', 'z ; dota 2 ; '), ('76561198446676246', 'dealyzz [?] ;  ; '), ('76561198313240965', 'grape ;  ; '), ('76561198859391003', 'khatan ;  ; '), ('76561198041631684', 'lenin cat ;  ; '), ('76561198094453887', 'nicotine ;  ; '), ('76561198114770790', 'nifty ;  ; '), ('76561198128353016', 'qwe ;  ; '), ('76561198085900397', 'ruah ;  ; '), ('76561198251408450', 'smk.! ;  ; '), ('76561198304092046', '. ;  ; '), ('76561199142692365', '/t/ ;  ; '), ('76561198372205845', '9 ;  ; '), ('76561198281558884', '23 ;  ; '), ('76561198327254691', '77777777777777777 ;  ; '), ('76561198071227733', '@heliosx ;  ; '), ('76561198839332009', 'a ah ;  ; '), ('76561198309233227', 'akari ishizuka ;  ; '), ('76561198209549569', 'artour babaev ;  ; '), ('76561198974960747', 'asdfg ;  ; '), ('76561198152937589', 'asmodeus ;  ; '), ('76561198199452915', 'bayokoftw ;  ; '), ('76561198017500744', 'bayokoftw ;  ; '), ('76561199007356068', 'beluga ;  ; '), ('76561198257630267', 'billion ;  ; '), ('76561198124390002', 'blond ;  ; '), ('76561198277954551', 'boilingpoint ;  ; '), ('76561198332961660', 'bossmission ;  ; '), ('76561198137509845', 'budda ;  ; '), ('76561198177960135', 'carlito ;  ; '), ('76561198891761177', 'de.o ;  ; '), ('76561198327158044', 'dew.arthas ;  ; '), ('76561198141463921', 'doctor45 ;  ; '), ('76561198051384372', 'enjoyer ;  ; '), ('76561198259767609', 'enjoyer ;  ; '), ('76561198907730506', 'eric ;  ; '), ('76561199068150605', 'eva ;  ; '), ('76561198120665885', 'falcon ;  ; '), ('76561198449075229', 'ganzo baina utsaa avda sda ;  ; '), ('76561198351702288', 'ghost ;  ; '), ('76561198153261940', 'hello noobs ;  ; '), ('76561198267394926', 'hippophae ;  ; '), ('76561198049468850', 'hurtsanberg ;  ; '), ('76561198049493548', ""i'm you! ;  ; ""), ('76561198277033756', 'invoker ;  ; '), ('76561199105369301', 'joseph vissarionovich stalin ;  ; '), ('76561198405253386', 'kenn ;  ; '), ('76561198136420971', 'kilmonger ;  ; '), ('76561198998512991', 'kimchijjiggae ;  ; '), ('76561199087962941', 'king_vezu ;  ; '), ('76561199083188228', 'kizen ;  ; '), ('76561198307989935', 'laaast hancy yaar moh ;  ; '), ('76561198357700846', 'lalisa_m ;  ; '), ('76561198136210553', 'los pollos hermanos ;  ; '), ('76561198074661553', 'lucas peek⚡ ;  ; '), ('76561198118992362', 'm a a j i i s h u u !! ;  ; '), ('76561198176577610', 'magic! ;  ; '), ('76561199301548649', 'maralukk ;  ; '), ('76561198974241266', 'mc ;  ; '), ('76561198223590108', 'mcnaaa ;  ; '), ('76561198129042885', 'meracle.fnc ;  ; '), ('76561199191611055', 'min⚡ ;  ; '), ('76561198202043582', 'mitsui ;  ; '), ('76561198091701664', 'mnsilent ;  ; '), ('76561198253636232', 'morning ;  ; '), ('76561198372136644', 'munji ;  ; '), ('76561198138103192', 'nme ;  ; '), ('76561198370191634', 'no mercy in archoooon ;  ; '), ('76561198806251164', 'noob ;  ; '), ('76561199165132984', 'nymbax ;  ; '), ('76561198198986819', 'peach slayer ;  ; '), ('76561198830407977', 'purrfect ;  ; '), ('76561198198121955', 'racismisavirus ;  ; '), ('76561198303733554', 'ring of aquila ;  ; '), ('76561199077647310', 'rita ;  ; '), ('76561198193680825', 'robert oppenheimer ;  ; '), ('76561198196079098', 'rooroolen ;  ; '), ('76561198827588101', 'ryumx ;  ; '), ('76561198100854171', 's1g4n ;  ; '), ('76561198407147280', 'sk0r ;  ; '), ('76561198874168537', 'sleep paralysis ;  ; '), ('76561198990471871', 'snuuze- ;  ; '), ('76561199211403444', 'steppemammal ;  ; '), ('76561198157720397', 'summer ;  ; '), ('76561198435712975', 'temka ;  ; '), ('76561198217690147', 'ten toes down ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198306884280', 'tom ;  ; '), ('76561198308874116', 'tr ;  ; '), ('76561198834092397', 'tugstumul ;  ; '), ('76561198871807564', 'ulquare.! ;  ; '), ('76561198228907840', 'uncle ;  ; '), ('76561198819622035', 'uzaki chan ;  ; '), ('76561198207490012', 'valorant player ;  ; '), ('76561198976454702', 'xeol ;  ; '), ('76561198362773598', '^^tmk#1 ;  ; '), ('76561199056772285', 'ᵂᵘᵉʷᵘᵉʷᵘᵉʷᵘᵉ ;  ; '), ('76561198071759066', '™revenge☻♥ ;  ; '), ('76561198138612363', '⚱️gh* ;  ; '), ('76561198805957968', '✪ _baatr_ ;  ; '), ('76561198135171646', '小幸 ;  ; '), ('76561198346365412', '𐂃showko!!! ;  ; ')]"
76561198137509845,budda ;  ; ,Japan,"[('76561198274767200', 'exitfrag enjoyer ; counter-strike 2 ; '), ('76561198094907437', 'homesbones ; apex legends ; '), ('76561198256613886', '0072 ;  ; '), ('76561198166075434', 'bumbuulei ;  ; '), ('76561198313240965', 'grape ;  ; '), ('76561198227602292', 'inenvy ;  ; '), ('76561198859391003', 'khatan ;  ; '), ('76561198041631684', 'lenin cat ;  ; '), ('76561198094453887', 'nicotine ;  ; '), ('76561198128353016', 'qwe ;  ; '), ('76561198085900397', 'ruah ;  ; '), ('76561198238070570', '#re「ノミンエルデン」 ;  ; '), ('76561198051717670', '*nail ;  ; '), ('76561198262672669', '-epic- ;  ; '), ('76561198304092046', '. ;  ; '), ('76561198281558884', '23 ;  ; '), ('76561198176770741', '50 p ;  ; '), ('76561198137941765', '50$ ;  ; '), ('76561198796969051', '76561198796969051 ;  ; '), ('76561198130262353', '?? ;  ; '), ('76561198309233227', 'akari ishizuka ;  ; '), ('76561198195787099', 'anuk ;  ; '), ('76561198126573029', 'arere? ;  ; '), ('76561198280469953', 'ari ;  ; '), ('76561198152937589', 'asmodeus ;  ; '), ('76561198304883616', 'asyouasked ;  ; '), ('76561198257630267', 'billion ;  ; '), ('76561198240643720', 'blank ;  ; '), ('76561198124390002', 'blond ;  ; '), ('76561198332961660', 'bossmission ;  ; '), ('76561198208651108', 'bu; ;  ; '), ('76561198216895833', 'carti ;  ; '), ('76561198143953516', 'corona ;  ; '), ('76561198307742671', 'dantelion! ;  ; '), ('76561198043684040', 'defeat ;  ; '), ('76561198141463921', 'doctor45 ;  ; '), ('76561198091118848', 'egduutei ;  ; '), ('76561198210583107', 'elo ;  ; '), ('76561198137235053', 'eminem ;  ; '), ('76561198122092865', 'enem1.legend  x sens 0.833 ;  ; '), ('76561198259767609', 'enjoyer ;  ; '), ('76561198271660653', 'erotoman ;  ; '), ('76561198411937348', 'eto gege ;  ; '), ('76561198145299202', 'fisher ;  ; '), ('76561198362769239', 'flatbushzombies ;  ; '), ('76561198077054573', 'franciskaz ;  ; '), ('76561198261973490', 'fuck ;  ; '), ('76561198140989049', 'fullnoob alchemist ;  ; '), ('76561198093371496', 'gang gang! ;  ; '), ('76561199158652847', 'getnymba ;  ; '), ('76561198009483216', 'god-like_or_noting ;  ; '), ('76561198123673865', 'h a z d a g ;  ; '), ('76561198267394926', 'hippophae ;  ; '), ('76561198049468850', 'hurtsanberg ;  ; '), ('76561198053303387', 'iceberg ;  ; '), ('76561198024320023', 'iq ;  ; '), ('76561198178435690', 'ivc.dickenss ;  ; '), ('76561198183286631', 'jabilhadid ;  ; '), ('76561198449869718', 'jjakiro02 ;  ; '), ('76561198145373180', 'juicyflamingo ;  ; '), ('76561198082269598', 'jumperffs ;  ; '), ('76561198254770698', 'k ;  ; '), ('76561198179435931', 'kaskade ;  ; '), ('76561198293223754', 'khan ;  ; '), ('76561199087962941', 'king_vezu ;  ; '), ('76561198194644065', 'lalisa <3 ;  ; '), ('76561198154735209', 'larry ;  ; '), ('76561198245356092', 'legendary black holer ;  ; '), ('76561198176577610', 'magic! ;  ; '), ('76561198974241266', 'mc ;  ; '), ('76561198129042885', 'meracle.fnc ;  ; '), ('76561198207277737', 'mid ;  ; '), ('76561198212466657', 'minipasha ;  ; '), ('76561198091701664', 'mnsilent ;  ; '), ('76561198388939436', 'mr.dr.pr.dt.sc.ryumaa ;  ; '), ('76561198440242590', 'mrgastation ;  ; '), ('76561198135440811', 'mundag baatar. ;  ; '), ('76561198282315862', 'na ;  ; '), ('76561198138103192', 'nme ;  ; '), ('76561198186214875', 'none ;  ; '), ('76561199145519710', 'nymbax ;  ; '), ('76561198072639144', 'oldmanzb ;  ; '), ('76561198275581875', 'orp ;  ; '), ('76561198198986819', 'peach slayer ;  ; '), ('76561198358284011', 'polo2 ;  ; '), ('76561198304636894', 'quitezreo ;  ; '), ('76561198077538310', 'r3member.me ;  ; '), ('76561198198121955', 'racismisavirus ;  ; '), ('76561198256721159', 'randy889 ;  ; '), ('76561198115890267', 'ravjul ;  ; '), ('76561198307043825', 'res0nance ;  ; '), ('76561198303733554', 'ring of aquila ;  ; '), ('76561198193680825', 'robert oppenheimer ;  ; '), ('76561198311595651', 'saruul ;  ; '), ('76561198131797292', 'sda suga lalr ;  ; '), ('76561198401407131', 'shagai ;  ; '), ('76561198146753138', 'silmik -a- ;  ; '), ('76561198137134918', 'space <3 ;  ; '), ('76561198293488651', 'suck at all role ;  ; '), ('76561198157720397', 'summer ;  ; '), ('76561198116459842', 'swire ;  ; '), ('76561198245642552', 't1 gichii ;  ; '), ('76561198153476126', 't3rra ;  ; '), ('76561198078025462', 'th0r ;  ; '), ('76561198180662845', 'the gambler ;  ; '), ('76561198887276207', 'the shotguy ;  ; '), ('76561198174592162', 'tier 3 winner ;  ; '), ('76561198306884280', 'tom ;  ; '), ('76561198152125902', 'ts!mn ;  ; '), ('76561198278112905', 'tse lovely (solo queue) ;  ; '), ('76561198257897950', 'tslm ;  ; '), ('76561198258671985', 'tuudug- ;  ; '), ('76561198871807564', 'ulquare.! ;  ; '), ('76561198081532608', 'umbaart ;  ; '), ('76561198142373396', 'ummami ;  ; '), ('76561198215567363', 'uramesh1 ;  ; '), ('76561198077043511', 'vodka.! ;  ; '), ('76561198171972235', 'xakep™ ;  ; '), ('76561198190293831', 'xtrail ;  ; '), ('76561198083995860', 'yondkoo ;  ; '), ('76561198121465540', 'yondkoo <3 ;  ; '), ('76561198439015987', 'zhavia ;  ; '), ('76561198095976523', '[lifedrainer]™ psycho! ;  ; '), ('76561198109021293', '{666}taromia ;  ; '), ('76561198215216279', 'ГЕЛИК ;  ; '), ('76561198303595342', 'Лейтенант Лизун ;  ; '), ('76561198084237495', 'Мөөж ;  ; '), ('76561198138612363', '⚱️gh* ;  ; '), ('76561198117940041', '一直大采集 ;  ; ')]"
